N,frame,fps
2500,48,13.24541
2500,49,40.69916
2500,50,54.13447
2500,51,29.66594
2500,52,12.57755
2500,53,11.27138
2500,54,11.10877
2500,55,11.06468
2500,56,10.96266
2500,57,47.99176
2500,58,26.6688
2500,59,22.16303
2500,60,10.24284
2800,1,73.51579
2800,2,39.93823
2800,3,73.16347
2800,4,66.35034
2800,5,39.95693
2800,6,64.65156
2800,7,71.58661
2800,8,35.18111
2800,9,61.15081
2800,10,60.04642
2800,11,61.55799
2800,12,66.61195
2800,13,31.07791
2800,14,32.46167
2800,15,33.87344
2800,16,60.69137
2800,17,62.07235
2800,18,60.87009
2800,19,27.2979
2800,20,64.18648
2800,21,26.40474
2800,22,60.58311
2800,23,59.26374
2800,24,24.96855
2800,25,21.79453
2800,26,17.75222
2800,27,19.04991
2800,28,16.85566
2800,29,62.16858
2800,30,16.66633
2800,31,32.64796
2800,32,14.60354
2800,33,13.9414
2800,34,13.67301
2800,35,13.49411
2800,36,33.6801
2800,37,13.82396
2800,38,12.35676
2800,39,9.620633
2800,40,9.640196
2800,41,8.268448
2800,42,24.11918
2800,43,19.12358
2800,44,8.283945
2800,45,8.138896
2800,46,16.09933
2800,47,7.279349
2800,48,24.1784
2800,49,7.761993
2800,50,19.46095
2800,51,7.025617
2800,52,6.791457
2800,53,5.984398
2800,54,6.092324
2800,55,6.14194
2800,56,5.529829
2800,57,19.22931
2800,58,15.25099
2800,59,14.16341
2800,60,5.740892
3100,1,65.31258
3100,2,62.08161
3100,3,53.53106
3100,4,61.11824
3100,5,57.71896
3100,6,54.97412
3100,7,31.21344
3100,8,31.06804
3100,9,54.3777
3100,10,65.71883
3100,11,54.99319
3100,12,30.64297
3100,13,29.11065
3100,14,52.15038
3100,15,60.08328
3100,16,54.85451
3100,17,21.44706
3100,18,41.87437
3100,19,38.33416
3100,20,50.92236
3100,21,15.82068
3100,22,32.45597
3100,23,13.88956
3100,24,31.0492
3100,25,11.69185
3100,26,10.39892
3100,27,24.57329
3100,28,63.43409
3100,29,9.710628
3100,30,9.329061
3100,31,39.09425
3100,32,8.973611
3100,33,18.61851
3100,34,7.891265
3100,35,7.638326
3100,36,7.301852
3100,37,7.030426
3100,38,6.796519
3100,39,20.1345
3100,40,6.836855
3100,41,6.823427
3100,42,6.889347
3100,43,6.718316
3100,44,6.761516
3100,45,6.746876
3100,46,6.731184
3100,47,9.65967
3100,48,6.580316
3100,49,6.423008
3100,50,6.32184
3100,51,6.523512
3100,52,6.583453
3100,53,13.25031
3100,54,6.546095
3100,55,6.313134
3100,56,6.402139
3100,57,6.45818
3100,58,6.557975
3100,59,6.523334
3100,60,6.328585
